N1	N2	W
96	31	1
103	31	1
270	31	1
271	31	1
271	31	1
89	32	1
33	32	1
54	32	1
55	32	1
56	32	1
57	32	1
58	32	1
89	32	1
98	32	1
272	32	1
272	32	1
32	33	1
54	33	1
55	33	1
246	33	1
54	33	1
55	33	1
56	33	1
57	33	1
58	33	1
59	33	1
98	33	1
104	33	1
115	33	1
273	33	1
273	33	1
54	34	1
55	34	1
57	34	1
91	34	1
247	34	1
55	34	1
56	34	1
57	34	1
148	34	1
163	34	1
274	34	1
274	34	1
54	35	1
55	35	1
56	35	1
57	35	1
54	35	1
55	35	1
57	35	1
54	36	1
55	36	1
54	36	1
55	36	1
54	37	1
55	37	1
110	37	1
54	37	1
55	37	1
55	37	1
56	37	1
54	38	1
55	38	1
54	38	1
55	38	1
56	38	1
57	38	1
58	38	1
59	38	1
138	39	1
54	39	1
55	39	1
58	39	1
137	39	1
137	39	1
138	39	1
251	39	1
281	39	1
6	40	1
11	40	1
13	40	1
13	40	1
14	40	1
14	40	1
17	40	1
17	40	1
18	40	1
19	40	1
19	40	1
20	40	1
20	40	1
21	40	1
47	40	1
73	40	1
74	40	1
77	40	1
77	40	1
78	40	1
78	40	1
168	40	1
7	41	1
7	41	1
8	41	1
9	41	1
9	41	1
10	41	1
10	41	1
11	41	1
11	41	1
11	41	1
11	41	1
12	41	1
12	41	1
12	41	1
13	41	1
13	41	1
14	41	1
14	41	1
18	41	1
18	41	1
19	41	1
19	41	1
20	41	1
20	41	1
46	41	1
74	41	1
74	41	1
77	41	1
78	41	1
162	41	1
11	42	1
11	42	1
11	42	1
13	42	1
15	42	1
18	42	1
18	42	1
21	42	1
50	42	1
73	42	1
12	43	1
12	43	1
12	43	1
12	43	1
14	43	1
16	43	1
17	43	1
20	43	1
17	43	1
22	43	1
76	43	1
78	43	1
86	43	1
1	44	1
5	44	1
7	44	1
11	44	1
11	44	1
11	44	1
13	44	1
13	44	1
1	44	1
21	44	1
45	44	1
171	44	1
199	44	1
50	44	1
54	44	1
56	44	1
58	44	1
59	44	1
59	44	1
114	44	1
115	44	1
167	44	1
179	44	1
181	44	1
199	44	1
234	44	1
2	45	1
6	45	1
6	45	1
8	45	1
8	45	1
12	45	1
12	45	1
14	45	1
14	45	1
2	45	1
22	45	1
44	45	1
51	45	1
172	45	1
200	45	1
47	45	1
55	45	1
55	45	1
57	45	1
58	45	1
58	45	1
59	45	1
61	45	1
76	45	1
114	45	1
115	45	1
160	45	1
160	45	1
168	45	1
175	45	1
200	45	1
200	45	1
13	46	1
19	46	1
21	46	1
41	46	1
11	46	1
47	46	1
50	46	1
77	46	1
77	46	1
78	46	1
78	46	1
169	46	1
11	47	1
12	47	1
12	47	1
14	47	1
40	47	1
45	47	1
12	47	1
46	47	1
77	47	1
78	47	1
78	47	1
49	48	1
50	48	1
63	48	1
114	48	1
115	48	1
161	48	1
161	48	1
161	48	1
16	49	1
48	49	1
51	49	1
51	49	1
114	49	1
115	49	1
162	49	1
162	49	1
11	50	1
11	50	1
11	50	1
11	50	1
13	50	1
15	50	1
15	50	1
42	50	1
44	50	1
46	50	1
48	50	1
51	50	1
161	50	1
199	50	1
63	50	1
114	50	1
161	50	1
12	51	1
12	51	1
16	51	1
16	51	1
49	51	1
49	51	1
45	51	1
50	51	1
162	51	1
200	51	1
74	51	1
86	51	1
162	51	1
175	51	1
5	52	1
5	52	1
18	52	1
53	52	1
75	52	1
54	52	1
54	52	1
59	52	1
60	52	1
109	52	1
122	52	1
167	52	1
169	52	1
169	52	1
169	52	1
183	52	1
234	52	1
234	52	1
6	53	1
17	53	1
18	53	1
20	53	1
17	53	1
52	53	1
76	53	1
55	53	1
61	53	1
61	53	1
74	53	1
109	53	1
168	53	1
168	53	1
170	53	1
170	53	1
178	53	1
235	53	1
235	53	1
235	53	1
2	54	1
3	54	1
4	54	1
4	54	1
7	54	1
13	54	1
23	54	1
28	54	1
28	54	1
30	54	1
31	54	1
32	54	1
33	54	1
35	54	1
35	54	1
36	54	1
37	54	1
38	54	1
39	54	1
44	54	1
52	54	1
52	54	1
29	54	1
31	54	1
33	54	1
34	54	1
35	54	1
36	54	1
37	54	1
38	54	1
55	54	1
67	54	1
87	54	1
88	54	1
90	54	1
91	54	1
92	54	1
93	54	1
101	54	1
112	54	1
128	54	1
152	54	1
153	54	1
159	54	1
180	54	1
207	54	1
209	54	1
211	54	1
236	54	1
239	54	1
240	54	1
241	54	1
242	54	1
243	54	1
244	54	1
245	54	1
246	54	1
247	54	1
248	54	1
249	54	1
250	54	1
260	54	1
55	54	1
55	54	1
56	54	1
56	54	1
57	54	1
57	54	1
57	54	1
58	54	1
58	54	1
58	54	1
59	54	1
59	54	1
60	54	1
60	54	1
61	54	1
61	54	1
65	54	1
68	54	1
77	54	1
80	54	1
80	54	1
82	54	1
87	54	1
87	54	1
88	54	1
88	54	1
89	54	1
89	54	1
90	54	1
90	54	1
91	54	1
91	54	1
92	54	1
93	54	1
94	54	1
95	54	1
95	54	1
100	54	1
100	54	1
101	54	1
109	54	1
111	54	1
112	54	1
112	54	1
113	54	1
113	54	1
128	54	1
128	54	1
129	54	1
143	54	1
144	54	1
145	54	1
148	54	1
148	54	1
151	54	1
151	54	1
152	54	1
152	54	1
152	54	1
152	54	1
153	54	1
153	54	1
153	54	1
153	54	1
154	54	1
155	54	1
157	54	1
158	54	1
158	54	1
159	54	1
159	54	1
160	54	1
169	54	1
169	54	1
171	54	1
172	54	1
179	54	1
180	54	1
199	54	1
203	54	1
205	54	1
205	54	1
210	54	1
210	54	1
211	54	1
221	54	1
239	54	1
241	54	1
241	54	1
242	54	1
243	54	1
244	54	1
245	54	1
247	54	1
247	54	1
248	54	1
249	54	1
250	54	1
251	54	1
274	54	1
1	55	1
3	55	1
4	55	1
4	55	1
7	55	1
8	55	1
14	55	1
28	55	1
28	55	1
29	55	1
30	55	1
30	55	1
31	55	1
32	55	1
33	55	1
34	55	1
35	55	1
36	55	1
36	55	1
37	55	1
37	55	1
37	55	1
38	55	1
39	55	1
45	55	1
45	55	1
53	55	1
54	55	1
54	55	1
29	55	1
31	55	1
33	55	1
34	55	1
35	55	1
36	55	1
37	55	1
38	55	1
54	55	1
87	55	1
88	55	1
89	55	1
90	55	1
91	55	1
92	55	1
94	55	1
100	55	1
153	55	1
179	55	1
180	55	1
208	55	1
209	55	1
237	55	1
238	55	1
242	55	1
243	55	1
244	55	1
245	55	1
246	55	1
247	55	1
249	55	1
250	55	1
251	55	1
260	55	1
56	55	1
56	55	1
56	55	1
57	55	1
57	55	1
58	55	1
58	55	1
58	55	1
59	55	1
59	55	1
